==============================================================================
UCOM.h : 72 simbolos, 45 sin casar, 54124 bytes pendientes
==============================================================================
     12B    0.0% linea:570   zPhysics             UTL::Vector<PVehicle::ManageNode, 16>::GetMaxCapacity(void) const
     12B    0.0% linea:570   zCamera              UTL::Vector<IDebugWatchCar *, 16>::GetMaxCapacity(void) const
     12B    0.0% linea:570   zCamera              UTL::Vector<CameraAI::Director *, 16>::GetMaxCapacity(void) const
     12B    0.0% linea:570   zAI                  UTL::Vector<unsigned int, 16>::GetMaxCapacity(void) const
      8B    0.0% linea:763   zSpeech              UTL::FixedVector<Speech::SpeechEventPair, 264, 16>::AllocVectorSpace(unsigned int, unsig
      8B    0.0% linea:763   zSpeech              UTL::FixedVector<Speech::HistoryPair, 264, 16>::AllocVectorSpace(unsigned int, unsigned 
      8B    0.0% linea:763   zSim                 UTL::FixedVector<UTL::Collections::GarbageNode<Sim::Model, 434>::Collector::_Node, 434, 
      8B    0.0% linea:763   zSim                 UTL::FixedVector<UTL::Collections::GarbageNode<Sim::Entity, 8>::Collector::_Node, 8, 16>
      8B    0.0% linea:763   zSim                 UTL::FixedVector<UTL::Collections::GarbageNode<Sim::Activity, 40>::Collector::_Node, 40,
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<UTL::Collections::_KeyedNode, 40, 16>::AllocVectorSpace(unsigned int, u
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<UTL::Collections::_KeyedNode, 160, 16>::AllocVectorSpace(unsigned int, 
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<UTL::Collections::_KeyedNode, 10, 16>::AllocVectorSpace(unsigned int, u
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<UTL::Collections::GarbageNode<PhysicsObject, 160>::Collector::_Node, 16
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<Smackable *, 160, 16>::AllocVectorSpace(unsigned int, unsigned int)
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<Sim::IEntity *, 8, 16>::AllocVectorSpace(unsigned int, unsigned int)
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<PVehicle::ManageNode, 10, 16>::AllocVectorSpace(unsigned int, unsigned 
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<IVehicleCache *, 18, 16>::AllocVectorSpace(unsigned int, unsigned int)
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<ITrafficCenter *, 8, 16>::AllocVectorSpace(unsigned int, unsigned int)
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<ISpikeable *, 10, 16>::AllocVectorSpace(unsigned int, unsigned int)
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<ISimpleBody *, 96, 16>::AllocVectorSpace(unsigned int, unsigned int)
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<IRoadBlock *, 8, 16>::AllocVectorSpace(unsigned int, unsigned int)
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<IRigidBody *, 160, 16>::AllocVectorSpace(unsigned int, unsigned int)
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<IRecordablePlayer *, 8, 16>::AllocVectorSpace(unsigned int, unsigned in
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<IPursuit *, 8, 16>::AllocVectorSpace(unsigned int, unsigned int)
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<IPlayer *, 8, 16>::AllocVectorSpace(unsigned int, unsigned int)
      8B    0.0% linea:763   zPhysics             UTL::FixedVector<IModel *, 434, 16>::AllocVectorSpace(unsigned int, unsigned int)
